loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,default_ind
5000,5000,4975,36,10.65,162.87,B2,11,RENT,24000,1,n,credit_card,27.65,0,1,,3,0,13648,83.7,9,0,0,5861.071414,5831.78,5000,861.07,0,0,0,171.62,0,1,0,0
2500,2500,2500,60,15.27,59.83,C4,0,RENT,30000,1,n,car,1,0,5,,3,0,1687,9.4,4,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,119.66,0,1,0,1
2400,2400,2400,36,15.96,84.33,C5,11,RENT,12252,0,n,small_business,8.72,0,2,,2,0,2956,98.5,10,0,0,3003.653644,3003.65,2400,603.65,0,0,0,649.91,0,1,0,0
10000,10000,10000,36,13.49,339.31,C1,11,RENT,49200,1,n,other,20,0,1,35,10,0,5598,21,37,0,0,12226.30221,12226.3,10000,2209.33,16.97,0,0,357.48,0,1,0,0
3000,3000,3000,60,12.69,67.79,B5,1,RENT,80000,1,n,other,17.94,0,0,38,15,0,27783,53.9,38,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0,0,0,67.79,0,1,0,0
5000,5000,5000,36,7.9,156.46,A4,3,RENT,36000,1,n,wedding,11.2,0,3,,9,0,7963,28.3,12,0,0,5631.377753,5631.38,5000,631.38,0,0,0,161.03,0,1,0,0
7000,7000,7000,60,15.96,170.08,C5,8,RENT,47004,0,n,debt_consolidation,23.51,0,1,,7,0,17726,85.6,11,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0,0,0,170.08,0,1,0,0
3000,3000,3000,36,18.64,109.43,E1,9,RENT,48000,1,n,car,5.35,0,2,,4,0,8221,87.5,4,0,0,3938.144334,3938.14,3000,938.14,0,0,0,111.34,0,1,0,0
5600,5600,5600,60,21.28,152.39,F2,4,OWN,40000,1,n,small_business,5.55,0,2,,11,0,5210,32.6,13,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,152.39,0,1,0,1
5375,5375,5350,60,12.69,121.45,B5,0,RENT,15000,1,n,other,18.08,0,0,,2,0,9279,36.5,3,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,121.45,0,1,0,1
6500,6500,6500,60,14.65,153.45,C3,5,OWN,72000,0,n,debt_consolidation,16.12,0,2,,14,0,4032,20.6,23,0,0,7677.52,7677.52,6500,1177.52,0,0,0,1655.54,0,1,0,0
12000,12000,12000,36,12.69,402.54,B5,11,OWN,75000,1,n,debt_consolidation,10.78,0,0,,12,0,23336,67.1,34,0,0,13943.08,13943.08,12000,1943.08,0,0,0,6315.3,0,1,0,0
9000,9000,9000,36,13.49,305.38,C1,0,RENT,30000,1,n,debt_consolidation,10.08,0,1,,4,0,10452,91.7,9,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,305.38,0,1,0,1
3000,3000,3000,36,9.91,96.68,B1,3,RENT,15000,1,n,credit_card,12.56,0,2,,11,0,7323,43.1,11,0,0,3478.981915,3478.98,3000,478.98,0,0,0,102.43,0,1,0,0
10000,10000,10000,36,10.65,325.74,B2,3,RENT,100000,1,n,other,7.06,0,2,,14,0,11997,55.5,29,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,325.74,0,1,0,1
1000,1000,1000,36,16.29,35.31,D1,0,RENT,28000,0,n,debt_consolidation,20.31,0,1,,11,0,6524,81.5,23,0,0,1270.171106,1270.17,1000,270.17,0,0,0,36.32,0,1,0,0
10000,10000,10000,36,15.27,347.98,C4,4,RENT,42000,0,n,home_improvement,18.6,0,2,61,14,0,24043,70.2,28,0,0,12519.26045,12519.26,10000,2519.26,0,0,0,370.46,0,1,0,0
3600,3600,3600,36,6.03,109.57,A1,11,MORTGAGE,110000,0,n,major_purchase,10.52,0,0,,20,0,22836,16,42,0,0,3785.02,3785.02,3600,185.02,0,0,0,583.45,0,1,0,0
6000,6000,6000,36,11.71,198.46,B3,1,MORTGAGE,84000,1,n,medical,18.44,2,0,8,4,0,0,37.73,14,0,0,7164.499852,7164.5,6000,1149.5,15,0,0,16.98,0,1,0,0
9200,9200,9200,36,6.03,280.01,A1,6,RENT,77385.19,0,n,debt_consolidation,9.86,0,0,,8,0,7314,23.1,28,0,0,9459.96,9459.96,9200,259.96,0,0,0,8061.1,0,1,0,0
20250,20250,19142.16108,60,15.27,484.63,C4,3,RENT,43370,1,n,debt_consolidation,26.53,0,3,,8,0,17813,85.6,22,0,0,27663.04267,25417.68,20250,7413.04,0,0,0,6024.09,0,1,0,0
21000,21000,21000,36,12.42,701.73,B4,11,RENT,105000,1,n,debt_consolidation,13.22,0,0,,7,0,32135,90.3,38,0,0,14025.4,14025.4,10694.96,3330.44,0,0,0,701.73,0,1,0,1
10000,10000,10000,36,11.71,330.76,B3,11,OWN,50000,1,n,credit_card,11.18,0,0,,8,0,10056,82.4,21,0,0,11902.56157,11902.56,10000,1902.56,0,0,0,349.21,0,1,0,0
10000,10000,10000,36,11.71,330.76,B3,5,RENT,50000,0,n,debt_consolidation,16.01,0,0,,6,0,17800,91.8,17,0,0,11536.31,11536.31,10000,1536.31,0,0,0,4942.63,0,1,0,0
6000,6000,6000,36,11.71,198.46,B3,1,RENT,76000,0,n,major_purchase,2.4,0,1,,7,0,5963,29.7,7,0,0,2050.14,2050.14,1305.58,475.25,0,269.31,2.57,198.46,0,1,0,1
15000,15000,15000,36,9.91,483.38,B1,2,MORTGAGE,92000,1,n,credit_card,29.44,0,0,,8,0,13707,93.9,31,0,0,15823.48,15823.48,15000,823.48,0,0,0,2447.05,0,1,0,0
15000,15000,8725,36,14.27,514.64,C2,9,RENT,60000,0,n,debt_consolidation,15.22,0,1,,7,0,5872,57.6,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5000,5000,5000,60,16.77,123.65,D2,2,RENT,50004,0,n,other,13.97,3,0,20,14,0,4345,59.5,22,0,0,1609.12,1609.12,629.05,719.11,0,260.96,2.3,123.65,0,1,0,1
4000,4000,4000,36,11.71,132.31,B3,11,MORTGAGE,106000,0,n,debt_consolidation,5.63,1,0,18,12,0,6110,37.7,44,0,0,4484.79,4484.79,4000,484.79,0,0,0,2638.77,0,1,0,0
8500,8500,8500,36,11.71,281.15,B3,0,RENT,25000,1,n,credit_card,12.19,0,0,,8,0,6441,59.1,12,0,0,10122.20861,10122.21,8500,1622.21,0,0,0,581.59,0,1,0,0
