<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MGNT,D,20191202,000000,3280.0000000,3303.5000000,3242.0000000,3253.5000000,212324
MGNT,D,20191203,000000,3253.5000000,3256.5000000,3174.0000000,3180.0000000,339436
MGNT,D,20191204,000000,3188.0000000,3215.5000000,3151.5000000,3195.5000000,190002
MGNT,D,20191205,000000,3205.0000000,3222.0000000,3191.0000000,3199.0000000,114441
MGNT,D,20191206,000000,3208.5000000,3219.5000000,3195.5000000,3207.0000000,94980
MGNT,D,20191209,000000,3211.0000000,3234.5000000,3207.0000000,3231.5000000,169123
MGNT,D,20191210,000000,3232.0000000,3238.0000000,3211.5000000,3234.0000000,89431
MGNT,D,20191211,000000,3233.0000000,3258.5000000,3225.0000000,3230.5000000,168607
MGNT,D,20191212,000000,3235.0000000,3259.5000000,3235.0000000,3235.0000000,209848
MGNT,D,20191213,000000,3245.0000000,3274.0000000,3237.0000000,3265.5000000,238421
MGNT,D,20191216,000000,3274.5000000,3289.5000000,3255.5000000,3265.5000000,228827
MGNT,D,20191217,000000,3268.0000000,3285.5000000,3258.5000000,3272.5000000,212904
MGNT,D,20191218,000000,3272.0000000,3289.0000000,3268.5000000,3271.0000000,253346
MGNT,D,20191219,000000,3274.0000000,3288.5000000,3270.5000000,3276.0000000,327136
MGNT,D,20191220,000000,3325.0000000,3352.0000000,3287.0000000,3297.0000000,648340
MGNT,D,20191223,000000,3309.5000000,3344.5000000,3301.0000000,3340.0000000,299579
MGNT,D,20191224,000000,3343.5000000,3379.5000000,3341.0000000,3371.5000000,374853
MGNT,D,20191225,000000,3374.5000000,3431.5000000,3372.0000000,3416.0000000,395005
MGNT,D,20191226,000000,3432.0000000,3464.5000000,3424.0000000,3449.0000000,401515
MGNT,D,20191227,000000,3451.5000000,3467.0000000,3412.5000000,3428.0000000,422886
MGNT,D,20191230,000000,3435.0000000,3444.0000000,3416.5000000,3425.0000000,252912
