ClothNane;ClothCategory;Season;ClothSilh;ClothModel;ClothSize;allCount;allReceipts
pk1555-1191;Платье;Специфичная;треугольный;NULL;46;14;19,3666
pk1555-1191;Платье;Специфичная;треугольный;NULL;48;16;21,5792
pk1555-1191;Платье;Специфичная;треугольный;NULL;50;18;26,246
pk1555-1191;Платье;Специфичная;треугольный;NULL;52;13;16,0089
pk1555-1191;Платье;Специфичная;треугольный;NULL;54;14;18,8444
pk1555-1191;Платье;Специфичная;треугольный;NULL;56;14;17,1828
pk1555-1191;Платье;Специфичная;треугольный;NULL;58;11;13,7643
pk1555-1191;Платье;Специфичная;треугольный;1091;46;17;20,3468
pk1555-1191;Платье;Специфичная;треугольный;1091;48;24;30,9121
pk1555-1191;Платье;Специфичная;треугольный;1091;50;25;32,0602
pk1555-1191;Платье;Специфичная;треугольный;1091;52;22;28,3966
pk1555-1191;Платье;Специфичная;треугольный;1091;54;24;28,9218
pk1555-1191;Платье;Специфичная;треугольный;1091;56;20;24,5745
pk1555-1191;Платье;Специфичная;треугольный;1091;58;9;11,3133
pk1385-1151;Платье;Весна-осень;треугольный;NULL;42;12;16,8409
pk1385-1151;Платье;Весна-осень;треугольный;NULL;44;19;25,6268
pk1385-1151;Платье;Весна-осень;треугольный;NULL;46;21;32,5969
pk1385-1151;Платье;Весна-осень;треугольный;NULL;48;24;31,3187
pk1385-1151;Платье;Весна-осень;треугольный;NULL;50;20;28,5324
pk1385-1151;Платье;Весна-осень;треугольный;NULL;42;22;27,2971
pk1385-1151;Платье;Весна-осень;треугольный;NULL;44;20;25,5781
pk1385-1151;Платье;Весна-осень;треугольный;NULL;46;24;28,2907
pk1385-1151;Платье;Весна-осень;треугольный;NULL;48;25;27,1429
pk1385-1151;Платье;Весна-осень;треугольный;NULL;50;23;32,9168
pk1315-1151;Платье;Весна-осень;треугольный;1051;42;15;21,0911
pk1315-1151;Платье;Весна-осень;треугольный;1051;44;27;34,245
