TissueName;TissueProvider
2;Китай
3;Китай
5;Китай
6;Китай
10;Китай
11;Китай
16;Китай
17;Китай
18;Китай
19;Китай
22;Китай
22;Китай
22;Китай
23;Китай
24;Китай
25;Китай
26;Китай
27;Китай
30;Китай
31;Китай
32;Китай
33;Китай
34;Китай
102;Китай
107;Китай
108;Китай
155;Китай
156;Китай
157;Китай
158;Китай
159;Китай
160;Китай
161;Китай
174;Китай
175;Китай
201;Китай
203;Китай
210;Китай
220;Китай
233;Китай
237;Китай
239;Китай
257;Китай
261;Китай
266;Китай
267;Китай
268;Китай
269;Китай
270;Китай
271;Китай
274;Китай
275;Китай
276;Китай
277;Китай
284;Китай
285;Китай
286;Китай
287;Китай
289;Китай
291;Китай
293;Китай
301;Китай
302;Китай
303;Китай
304;Китай
305;Китай
306;Китай
308;Китай
309;Китай
310;Китай
311;Китай
312;Китай
501;Китай
1007;Китай
1009;Китай
1010;Китай
1030;Китай
1031;Китай
1033;Китай
1034;Китай
1037;Китай
1038;Китай
1042;Китай
1043;Китай
1046;Китай
1048;Китай
1049;Китай
1050;Китай
1051;Китай
1052;Китай
1053;Китай
1054;Китай
1055;Китай
1056;Китай
1057;Китай
1058;Китай
1059;Китай
1101;Китай
1105;Китай
1109;Китай
1110;Китай
1111;Китай
1112;Китай
1113;Китай
1117;Китай
1118;Китай
1119;Китай
1123;Китай
1127;Китай
1131;Китай
1133;Китай
1140;Китай
1141;Китай
1143;Китай
1144;Китай
1145;Китай
1146;Китай
1147;Китай
1150;Китай
1151;Китай
1154;Китай
1155;Китай
1156;Китай
1157;Китай
1158;Китай
1159;Китай
1161;Китай
1162;Китай
1163;Китай
1165;Китай
1166;Китай
1167;Китай
1168;Китай
1169;Китай
1170;Китай
1171;Китай
1172;Китай
1173;Китай
1174;Китай
1175;Китай
1176;Китай
1306;Китай
1337;Китай
1339;Китай
1364;Китай
1365;Китай
1366;Китай
1368;Китай
1373;Китай
1374;Китай
1375;Китай
1377;Китай
1380;Китай
1382;Китай
1384;Китай
1388;Китай
1389;Китай
1394;Китай
1397;Китай
1407;Китай
1415;Китай
1416;Китай
1418;Китай
1422;Китай
1437;Китай
1440;Китай
1441;Китай
1442;Китай
1500;Китай
1501;Китай
1504;Китай
1511;Китай
1515;Китай
1516;Китай
1517;Китай
1518;Китай
1519;Китай
1523;Китай
1524;Китай
1525;Китай
1526;Китай
1527;Китай
1528;Китай
1531;Китай
1532;Китай
1535;Китай
1537;Китай
1544;Китай
1545;Китай
1546;Китай
1547;Китай
2000;Китай
2001;Китай
2002;Китай
2004;Китай
2010;Китай
